task,complexes,frames,mean_mae,mean_rmse,mean_matching,mean_stability,mean_ligand_collision,mean_binding_collision,mean_com_error,mean_rg_error
paper,3,297,3.798245186958249,2.5325300636315586,0.5985400686260024,63.4865301369818,41.712119725416805,0.0,2.363827231957856,0.39003962157952665
T1,3,30,1.6884720494349799,1.11032845278581,0.3632725328207016,78.52986017862956,27.34164991378784,0.0,0.824680702884992,0.2240489423274994
T2,3,60,3.377367213368416,2.287536828716596,0.4877910261352857,70.41367699305216,36.26500069300334,0.0,2.0893090685208637,0.3131590793530146
T3,3,240,4.360365907351176,2.8422618549317122,0.34267371787379186,83.19545634587605,26.385953283309938,0.0,2.6300472147762775,0.21373546322186787
