epoch,loss
1,2.237987369922194
2,1.3973241179962046
3,1.063849090932922
4,0.940841676349668
5,0.9039588613432883
6,0.8841604542486446
7,0.870657152209612
8,0.8625755567789429
9,0.8569843996606976
10,0.8514926960085558
11,0.849320493109623
12,0.8484013991784277
13,0.8447049897619481
14,0.8442272839911381
15,0.8446864402697961
16,0.8428303166060805
17,0.8439692174036478
18,0.842749031267742
19,0.8417538585122099
20,0.8409270473888942
21,0.8414450746923905
22,0.8403147398284327
23,0.8401536306155096
24,0.8411897111360385
25,0.8414749713112574
26,0.8396242861017388
27,0.8389699798796068
28,0.8395899497181045
29,0.838197947373622
30,0.8386114944941165
