epoch,rollout_loss,bond_loss,total_loss
1,1.1881414542440325,0.0032649191736709325,1.2207906459807418
2,2.0859260871075094,0.004338791542249964,2.129314002530009
3,0.35328502831980585,0.003529352742498304,0.3885785557447889
4,1.031301545491442,0.004321023603552021,1.0745117815269623
5,0.9842433993006126,0.003476196445626556,1.0190053637568781
6,2.2398453480098395,0.0030931494016840587,2.27077684202668
7,1.432519821776077,0.003453482651821105,1.467054648294288
8,0.9963269542902708,0.004018354651634581,1.0365105008066167
9,1.7007915356429293,0.0030362406560016098,1.7311539422029454
10,1.162003228859976,0.0028210025648149895,1.1902132545081259
11,1.2332989576738327,0.003377371042734012,1.2670726681011728
12,0.8021314567420632,0.005983636903329171,0.8619678257753549
13,1.198386744549498,0.002922739203859237,1.2276141365880904
14,1.633012395258993,0.004165738615847658,1.6746697814174696
15,2.031013008765876,0.00354755378975824,2.0664885466634586
16,0.9085821118205786,0.0032932539565081243,0.9415146513856598
17,1.1584605972981081,0.002805251000700082,1.186513107305109
18,0.9745307460892946,0.003372770966598182,1.0082584557552763
19,0.7973735491745174,0.002661277427978348,0.8239863234543009
20,1.0399473088094964,0.005598676721274387,1.0959340760222402
21,0.9466612820979208,0.00490406108146999,0.9957018929126207
22,0.5730989590287209,0.0036491875471256208,0.6095908344999771
23,2.5026869925903155,0.0024957359419204295,2.5276443520095198
24,0.8407719555310905,0.005530705156706972,0.8960790070981602
25,0.9096281798556447,0.0024947744750534184,0.9345759246061789
