task,complexes,frames,mean_mae,mean_rmse,mean_matching,mean_stability,mean_ligand_collision,mean_binding_collision,mean_com_error,mean_rg_error
paper,100,9900,6.680916144450506,4.441304011242559,0.696433872964346,67.21558341671722,15.12252507804018,0.00011342570434954732,4.051093889708922,0.2773176150370126
T1,100,1000,2.6710329944491384,1.7705587300658225,0.48030778336152435,78.59093536758422,11.766202629804612,0.0018684842917136848,1.465095440916717,0.17514265221357345
T2,100,2000,3.981538871616125,2.641402176350355,0.5683835188038647,73.69631855487823,13.048305422395467,0.00592139915341977,2.332201188161969,0.22051104614138603
T3,100,8000,6.253186557248235,4.1561420764364305,0.698323639006354,67.6326838696003,13.901388405114412,0.005970587444178818,3.745626505325548,0.2629271608516574
